0    --------------------- Tests for Math ----------------------
  2  xx GETPART
     1239239847374618765
     4 5
  3  xx GETPARTL
     192343484723876
     6 7
  4  xx GetPartR
     2387456.34509825
     2 8
  5  xx FACTORIAL
     4
  6  xx BINOMIAL
     3 4
  7  xx MIN
     3 6
  8  xx MAX
     3 6
  9  xx PLANE
     1   3.1 5
     2   5   4
     1.4 3.5 2.6
 10  xx ARCCOSH
     1.43
 11  xx SINH
     45.65
 12  xx ARCSINH
     1.45
 13  xx ARCTANH
     0.8
 14  xx DOT
     1    2    5
     2.3  4.7 -1.6
 15  xx CROSS
     2.3  4.7 -1.6
     1    2    5
 16  xx MAG
     1    2    5
 17  xx NORM
     1    2    5
 18  xx ROT1
     34.6
     1    2    5
 19  xx ROT2
     34.6
     1    2    5
 20  xx ROT3
     34.6
     1    2    5
 21  xx ADDVEC
     1    2    5
     3    4.6 -5.6
 22  xx ADD3VEC
     3    4.6 -5.6
     1    2    5
     2.3 -3.1  5.6
 23  xx LNCOM1
     1.3
     1    2    5
 24  xx LNCOM2
      1.3  2.3
      1    2    5
     -2.3  2    6
 25  xx LNCOM3
      1.3  2.3  4.3
      1    2    5
     -2.3  2    6
      1    6.52 5
0   26  xx POLYFIT
0     3    3
0     0.01  63.2
0     0.5  76.4
0     1.0  58.2
 27  xx ANGLE
      1    2     5
     -1.4  3.5  -5.24
 30  xx QUADRATIC
     1  4 1
 31  xx CUBIC
     1 3 3 1
 32  xx QUARTIC
     1 3 6 3 1
 32  xx QUARTIC
     1 0 0 0 1
 29  xx FACTOR
     3
     1.0
     2.0
     2.0
     1.0
 33  xx MATSCALE
     2  3  4.7
     1.0   0.0   4.1
     2.0   3.0   -1.5
 34  xx MATMULT
     3  3  2
      1.0   2.0   3.0
     -1.1   0.5   2.0
     -2.00  4.00  7.0
     1.0  1.4
     0.0  2.6
     1.9  0.1
 35  xx MATADD
     3  2
     1.0  1.4
     0.0  2.6
     1.9  0.1
     1.0  1.4
     0.0  2.6
     1.9  0.1
 36  xx MATSUB
     3  3
      1.0   2.0   3.0
     -1.1   0.5   2.0
     -2.00  4.00  7.0
      1.0   0.8   2.0
     -2.1   1.5   4.0
     -2.30  2.00  1.0
 37  xx MATTRANS
     3  2
     1.0  1.4
     0.0  2.6
     1.9  0.1
 38  xx MAKEMAT
     30.0  1
 38  xx MAKEMAT
     30.0  2
 38  xx MAKEMAT
     30.0  3
 41  xx MATINVERSE
     2
      8  36
     36  204
 41  xx MATINVERSE
     2
      12944.71   8216.22
       8216.22   5251.58
 41  xx MATINVERSE
     3
      21.3   2.0   13.0
     -1.1   10.5   22.0
     -21.00  4.00  37.0
 42  xx PRINTMAT
     3   2   sample
     11.0  1.4
     20.0  2.6
     31.9  0.1
 43  xx FILEPRINTMAT
     3   2   sample sale
     1.0  1.41
     0.0  2.62
     1.9  0.13
 44  xx FILEEXPPRINTMAT
     3   2   sample.se
     1.0  1.412
     0.0  2.623
     1.9  0.134
 45  xx DETERMINANT
     3
